Abstract #,Abstract Title,Date,Time,Location,URL,Authors,Authors Affiliations,Abstract Text,Category,Sub Category,Session Title
P2-275,Clinical Characteristics of Pathologicaly Confirmed Early Onset Dementia with Lewy Bodies,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28456,"Shahul Hameed, MRCP, FRCP",,"
Abstract:Shahul Hameed, MRCP, FRCP1,2; Simon Ting, FRCP1; Nagaendran Kandiah, FRCP3,4; Adeline Su Lyn Ng, MRCP1; Kok Pin Ng, MRCP1; Celeste Chen5; Huihua Li5 and Eng King Tan6, (1)National Neuroscience Institute, Singapore, Singapore, (2)Duke-NUS Graduate Medical School /Neurology, Singapore, Singapore, (3)Duke-NUS Graduate Medical School, Singapore, Singapore, (4)National Neuroscience Institute, National Neuroscience Institute, Singapore, Singapore, (5)singapore general hospital, singapore, Singapore, (6)National Neuroscience Institute, singapore, SingaporeBackground:",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-276,Alzheimer's Disease: Vitamin D Deficiency Is Associated with Lower Mini-Mental State Exam (MMSE) Scores When Compared to Vitamin D Normal Range,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28496,"Caroline Komatsu, MS",UNIRIO - ESCOLA DE MEDICINA E CIRURGIA,"
Abstract:Caroline Komatsu, MS, UNIRIO - ESCOLA DE MEDICINA E CIRURGIA, RIO DE JANEIRO, Brazil and Ricardo S. Komatsu, MD, MSc, PhD, FAMEMA - Marilia Medical School, Marilia, BrazilBackground: Vitamin D has been investigated in association with cognitive function in older adults. According to the systematic review and meta-analysis conducted by Anweiler et al (2013), Alzhelmer’s disease (AD) cases had lower serum vitamin D concentrations than matched controls, which reinforces the conceptualization of vitamin D as a ‘neurosteroid hormone’ and as a potential biomarker of AD. The quality assessment of systematic reviews of vitamin D, cognition and dementia conducted by Aghajafari et al (2018) also corroborated the potential link between low serum vitamin D concentrations and dementia. Methods: 54 outpatients with the diagnostic of AD according to criteria proposed by NINCDS-ADRDA (2011), followed – up in a Geriatrics Clinic, had their vitamin D levels assessed and MMSE scores evaluated. Results: 39 (72,2%) patients presented vitamin D normal range (vitamin D level ≥ 30 ng/mL) and 15 (27,78%) patients presented vitamin D deficiency (vitamin D level < 30 ng/mL). From the vitamin D normal range group 8 patients (20,51%) presented moderate cognitive impairment (MMSE: 10 to 20) and 31 patients (79,49%) presented mild cognitive impairment (MMSE > 20). From the vitamin D deficiency group 1 patient (6,67%) presented severe cognitive impairment (MMSE < 10), 3 patients (20%) presented moderate cognitive impairment and 11 patients (73,33%) presented mild cognitive impairment. Both groups, vitamin D normal range and vitamin D deficiency, presented on average the same educational level: 8,12 and 8,38 years respectively. Conclusion: In this sample of patients with AD, vitamin D deficiency is associated with lower MMSE scores when compared to vitamin D normal range.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-277,Rapid Progressive Dementia in Hdls with a Novel CSF1R Mutation,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28546,"Seong-il Oh, MD",,"
Abstract:Seong-il Oh, MD1,2 and Eun Joo Chung, MD1,2, (1)Dementia and Neurodegenerative Disease Research Center, Inje University, Gimhae, Korea, Republic of (South), (2)Department of Neurology, Busan Paik Hospital, Inje University College of Medicine, Busan, Korea, Republic of (South)Background: Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia (HDLS) is a hereditary leukodystrophy whose main clinical manifestations include parkinsonism, spasticity, and ataxia. Method: A 39-year old man gradually developed a decline in cognitive functions with spastic gait and parkinsonism. The patient was initially diagnosed with a progressive variant of young-onset dementia or parkinsonism. But gait disturbances and cognitive impairment became more severe, and then the differential diagnosis was made for other causes including genetic testing. Result: Brain MRI showed fronto-temporal atrophy with hyperintense multiple small lesions in the deep cerebral white matter, and deep white matter diffusion abnormalities. The DNA analysis revealed a novel missense mutation c.2349C>A (p.Asn783Gln) of the CSF1R gene. Conclusion: We report a patient with rapid progression of cognitive and gait manifestations of HDLS and a novel CSF1R mutation. Hereditary diffuse leukoencephalopathy with axonal spheroids should be included in the differential diagnosis of young-onset progressive dementia and gait disturbance.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-279,Diagnostic Diversity and Three-Year Mortality Risk in a Memory Clinic,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29235,"Sheng-Lun Kao, MD",,"
Abstract:Sheng-Lun Kao, MD1,2; Yu-Ying Li1; Shu-Cin Chen1 and Raymond Y. Lo, MD, PhD1,2, (1)Buddhist Tzu Chi General Hospital, Hualien, Taiwan, (2)Tzu Chi University, Hualien, TaiwanBackground: Many neurodegenerative and non-degenerative diseases contribute to cognitive complaints seen in a memory clinic; however, little is known about their distribution and mortality risk. Method: We enrolled consecutive patients from the memory clinic in Buddhist Tzu Chi General Hospital during 2013/3-2016/10. Diagnoses were made on clinical grounds including interview, blood test, cognitive assessment and neuroimaging data. Our diagnostic categories included Alzheimer’s disease (AD), vascular dementia (VaD), Parkinson’s disease with dementia (PDD), dementia with Lewy bodies (DLB), frontotemporal dementia (FTD) and various non-degenerative causes. Each patient might receive more than one diagnosis. We described the frequency of different dementia subtypes and secondary causes. All patients were censored until death or 09/30/2018. Death records were obtained from the National Death Registry of Taiwan and confirmed by medical records review. Post-diagnosis survival was estimated by Kaplan-Meier method. We employed Cox proportional hazards regression models to examine the mortality risks of clinical diagnoses after adjusting for age, gender, education and Mini-Mental State Examination (MMSE). Result: The study comprised 727 patients with a mean age at 72.6 years and female preponderance. Nearly one-third of patients (n=231, 31.8%) came to the clinic with subjective cognitive decline (n=53) or other non-degenerative causes including anxiety/depression (n=65) and traumatic brain injury (n=23). Among patients diagnosed with neurodegenerative diseases (n=496), 69% had one subtype of dementia (case number: AD=215, VaD=58, PDD=45, FTD=14, DLB=10) and 31% had mixed dementia in which AD plus VaD was the most common combination. During a mean follow-up of 3.4 years, 150 deaths were documented and the mortality risk was 61 deaths/1000 person-years. Post-diagnosis survival was shortest among mixed dementia, followed by single-type dementia and non-degenerative causes (log-rank test: p<0.001); however, clinical diagnoses did not significantly predict mortality after taking age, gender and MMSE into account in Cox regression models. Conclusion: Clinical diagnoses for patients in a memory clinic are diverse and the majority are mixed dementia or non-degenerative conditions. Age, gender and MMSE scores at diagnosis are stronger predictors for survival than clinical diagnosis per se.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-280,Early-Onset Dementia in Chinese,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29236,"Vincent C.T. Mok, FRCP",The Chinese University of Hong Kong,"
Abstract:Lisa W.C. Au, MD, The Chinese University of Hong Kong, Hong Kong, China; Yuet Ping Yuen, MD, Hong Kong Children's Hospital, Hong Kong, China; Eric Y.L. Leung, MD, Hong Kong Sanatorium & Hospital, Happy Valley, Hong Kong; Adrian Wong, PhD, The Chinese University of Hong Kong, Hong Kong, Hong Kong and Vincent C.T. Mok, FRCP, The Chinese University of Hong Kong, NT, Hong KongBackground: Data on early-onset dementia in Chinese is limited. This study aimed to report the diagnostic profiles and characteristics of patients with suspected early-onset dementia in a university-affiliated movement and cognitive disorder clinic in Hong Kong. Method: We prospectively collected data of consecutive patients who were referred to the movement and cognitive disorder clinic at Prince of Wales Hospital between January 2012 and Dec 2018. All patients were referred for diagnostic evaluation of cognitive symptoms, with or without concomitant motor symptoms. Patients with symptom-onset at age 65 or before were recruited. We excluded patients with (1) cognitive deficits referable to an isolated event or toxin; (2) significant mood disorders; or (3) no objective evidence of cognitive impairment. Result: Of the 93 patients included, four patients had temporal lobe epilepsy mimicking dementia. Three patients had cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy, one patient had Niemann-Pick disease type C and two patients had undetermined aetiology. The remaining 83 patients had primary degenerative dementia. The most frequent diagnosis was Alzheimer’s disease (AD) (n = 58, 70%), followed by frontotemporal dementia (FTD) (n = 18, 22%) and parkinsonian disorders (n = 7, 8%). The mean age of symptom onset was 57.8 ± 5.8. The youngest AD patient had PSEN1 mutation. Ten (17%) AD patient had non-amnestic presentations. Fifteen FTD patients consented for mutation screening in the GRN (progranulin), MAPT (microtubule-associated protein tau) and C9orf72 genes, none were positive. Conclusion: Early-onset dementia had a broader differential diagnoses than late-onset dementia, and includes a number of rare hereditary diseases. Patients with suspected early-onset dementia should be thoroughly evaluated to identify any treatable causes.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-281,Dementia Outcomes after Addition of Proxy-Based Assessments for Deceased or Proxy-Dependent Participants,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29273,"Sarah A Gaussoin, MS",,"
Abstract:Sarah A Gaussoin, MS1; Mark A. Espeland, PhD1; Daniel P. Beavers, PhD1; Ramon Casanova, PhD1; Katelyn R Garcia, MS1; Beverly M Snively, PhD1; Sally A. Shumaker, PhD1; Robert B Wallace, MD, MSc2 and Stephen R. Rapp, PhD1, (1)Wake Forest School of Medicine, Winston-Salem, NC, USA, (2)University of Iowa College of Public Health, Iowa City, IA, USABackground: As people age and the incidence of dementia continues to increase, studies of cognitive function continue to be of importance. Ascertaining cognitive data through different mechanisms is necessary to address missing data concerns. Method: The Dementia Questionnaire (DQ), which utilizes proxy-based assessments, is a potential tool to determine cognitive status in participants no longer being followed per traditional study protocol. The DQ is currently being used in the Supplemental Case Ascertainment Protocol (SCAP) which is being conducted in an ongoing study of post-menopausal women as part of the Women’s Health Initiative Memory Study (WHIMS). Result: 94% of the 1260 SCAP participants were eligible due to being deceased. Those who are SCAP eligible were older, less likely to be a minority, were more likely to have hypertension, diabetes and prior history of CVD as well as being a past or current smoker. SCAP added 109 cases of probable dementia to WHIMS. Risk factor relationships were modified upon inclusion of the SCAP cases including an attenuation of a hormone therapy effect and discovery of a hypertension effect. Conclusion: Augmenting clinic-based cases with proxy-based assessments is feasible and lead to increased incident cases of dementia. When planning future clinical trials, it may be of study benefit to include a protocol of proxy-based assessments, develop strong relationships with proxies early on in the study, and attempt to maintain this relationship throughout the lifespan of the trial.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-282,Prognostic Regression Models of Life Expectancy after Diagnosis of Alzheimer’s Disease—a 20-Year Follow-up,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29552,"Carina Wattmo, RN, BSc, PhD",,"
Abstract:Carina Wattmo, RN, BSc, PhD1,2 and Elisabet Londos, MD, PhD1,2, (1)Memory Clinic, Skåne University Hospital, Malmö, Sweden, (2)Clinical Memory Research Unit, Dept of Clinical Sciences, Malmö, Lund University, Malmö, SwedenBackground:",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-283,"Current Status, Diagnosis and Treatment of Patients in a Memory Clinic in Chongqing, Southwestern China: An Eight-Year Practice","Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29553,"Yang Lü, PhD, MD",The First Affiliated Hospital of Chongqing Medical University,"
Abstract:Yang Lü, PhD, MD, The First Affiliated Hospital of Chongqing Medical University, Chongqing, ChinaBackground:",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-284,Association of Alzheimer's Disease with the Risk of Developing Epilepsy: A 10-Year Nationwide Cohort Study,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=29576,"Jun Hong Lee, MD",National Health Insurance Service Ilsan Hospital,"
Abstract:Jun Hong Lee, MD, National Health Insurance Service Ilsan Hospital, Goyang-si, Korea, Republic of (South)Background: Previous studies have reported conflicting results about the prevalence of seizures in AD, and few epidemiological studies in the Asia have been found. We examine the demographic, clinical characteristics and the incidence for seizures with AD patients compared to non-AD patients in a prospective, longitudinal, community-based cohort with long follow-up. Method: The data was collected from National Health Insurance Service-National Elderly cohort(NHIS-elderly) Database to define patients with AD from 2004-2006 based on having KCD code G30, F00. We performed a 1:5 case-control matched analysis using propensity score matching, which were based on age, sex and household income. We conducted Cox proportional hazards regression analysis to estimate the risk of epilepsy in AD. Result: In the cohort study, the patients with AD have higher chances for epilepsy than those without AD. The Hazard ratios for epilepsy with AD are 2.773(95% CI: 2.515-3.057). The study also shows that the gender male, comorbidities such as hypertension, hyperlipidemia, diabetes, and chronic kidney disease increases the risk of developing epilepsy. Patients have 1.527 (95% CI: 1.375–1.695) times higher mortality rate when epilepsy occurred in the AD group than in the control group. Conclusion: Out data show that AD significantly has higher risk for the development for epilepsy.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-285,Correlating Family History to Age of Diagnosis of Dementia in a Memory Clinic,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30105,"Anil Nair, MD",Alzheimer Disease Center,"
Abstract:Vrushali Shelar, MD; Jayaprabha Mane, MD; Shreya P Nair and Anil Nair, MD, Alzheimer Disease Center, Quincy, MA, USABackground: Family history is correlated to additional risk for dementia. We analysed the effect of family history of dementia in memory clinic subjects to the age at diagnosis. Method: We retrospectively obtained family history of dementia by chart review in our memory clinic and correlated with the age of diagnosis controlling for diagnosis, gender and race. Results: We analysed 651 patient charts retrospectively from 2010 to 2018. Mean age at memory complaint was 68.4±14.1. 392 (60.21%) were female. 631(96.92%) were Caucasian. 241 (37.01%) had a diagnosis of Alzheimer dementia. There was family history among 148 (22.73%) persons. Age of memory complaints start was not correlated to family history in our clinic, after adjusting for gender, race and diagnosis, odds ratio=0.99 (95% CI 0.99 - 0.98) p=0.458. Discussion: In a neurology clinic specializing in dementia, family history was not associated with age at memory complaint, after adjusting for diagnosis type, gender and race. Conclusion: Family history of dementia was not related to age at memory complaint in a retrospective analysis of patients attending memory clinic.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-286,Unawareness of Cognitive Impairment in Alzheimer’s Disease: A Review of the Current State of Art,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30288,"Federica Cacciamani, Msc",ARAMIS Lab,"
Abstract:Federica Cacciamani, Msc, ARAMIS Lab, Brain & Spine Institute (ICM), Pitié-Salpêtrière Hospital, Paris, France and Stéphane Epelbaum, MD, PhD, Sorbonne Universités, Université Pierre et Marie Curie (UPMC) Paris 06, Inserm, CNRS, Institut du cerveau et de la moelle epinière (ICM), Département de Neurologie, Institut de la Mémoire et de la Maladie d’Alzheimer (IM2A), Hôpital Pitié-Salpêtrière, Paris, FranceBackground: Individuals with Alzheimer's disease (AD) generally experience a progressive degradation of their self-awareness. The term 'anosognosia' refers to the failure to acknowledge the impairment resulting from pathological process, and adequately appreciate its severity and progression. Methods: A body of literature relating to anosognosia in AD was critically reviewed. Results: Firstly, while anosognosia is considered as a key – even not universal - feature of AD in the advanced stages, there is a lack of consensus regarding its presence in preclinical and prodromal stages. Conflicting evidence were found studying psychometrically-normal subjects and subjects with mild cognitive impairment, both ranging from full to deficient awareness of subtle and overt cognitive changes, respectively. This divergence is probably due to inconsistencies between diagnostic criteria or measures used. However, recent studies seem to confirm the presence of an early reduction of awareness and its potential use as marker of AD pathology (Cacciamani et al., 2017). Secondly, many studies showed correlations between unawareness and scores on tests of executive functions. Consistently, anosognosia was found to be related to a pattern of frontotemporoparietal dysfunction (see Figure), leading to a suboptimal ability to (i) compare current and past performance due to memory deficits; (ii) update knowledge about self; and (iii) judge the own performance assuming a third-person perspective (Perrotin et al., 2015; Fogarty et al., 2016). Anosognosia was also found to be associated with better perceived quality of life and less depression (Cines et al., 2015). Finally, the lack of awareness of impairment has various implications: it contributes to high levels of caregiver’s commitment and responsibility, increasing in turn his/her feelings of alienation (Conde-Sala et al., 2016); it negatively affects the ability to provide an informed consent and to make decisions about health (Karlawish et al., 2005); and intervention programs were shown to be less effective in unaware patients (Clare et al., 2004). Conclusion: Anosognosia in AD is a topic of growing interest. A more comprehensive conceptualization is needed to model the loss of awareness of cognitive functioning over the course of the disease, and to place it in the sequence of events due to the pathological process.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-287,Insomnia Increases the Risk of Alzheimer’s Disease and Vascular Dementia: A Nationwide Population-Based Study in South Korea,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30501,"Min seok Baek, MD",,"
Abstract:Min seok Baek, MD1; Kyungdo Han, PhD2; Yujin Koo, MD1; Bo Kyu Choi, MD1; Han Kyu Na, MD1; Chul Hyoung Lyoo, MD, PhD1 and Hanna Cho, MD, PhD1, (1)Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Korea, Republic of (South), (2)The Catholic University, Seoul, Korea, Republic of (South)Background: The purpose of this study is to investigate the risk of incidental Alzheimer’s disease(AD) and vascular dementia (VD) in insomnia patients using the National Health Insurance Service (NHIS) database of the entire population of South Korea from 2007 to 2014. We examined the relationship between insomnia and the risk of dementia including mortality and a long-term care facility admission of dementia patients, as well as the interaction between insomnia and known cardiovascular risks through subgroup analysis. Method: 2,796,871 patients diagnosed with insomnia (G47.0) by ICD-10 codes between 2007 to 2014 were enrolled. 5,593,742 controls were matched by a Greedy digit match algorithm. The propensity score matched analysis was done using variables that could affect the outcomes such as age, sex, hypertension, diabetes mellitus, dyslipidemia, congestive heart failure, and history of ischemic stroke. The follow-up diagnoses of AD (F00,G31.1) and VD (F01) were analysed by ICD-10 codes. The adjusted hazard ratio of mortality rate and admission to a long-term care facility was calculated with multivariable Cox analysis. Result: Among 2,796,871 insomnia patients, 138,270 patients were newly diagnosed with AD, and 26,706 patients with VD. Patients diagnosed with insomnia showed higher incidence rate than controls in both AD (Adjusted incidence rate ratio, IRR 1.73 [1.72-1.75, 95%CI]) and VD (IRR 2.1 [2.06-2.14, 95%CI]), respectively. The risk of both AD and VD in the insomnia group were higher in patients with cardiovascular risk factors. Dementia patients both in AD and VD in the insomnia group showed a higher mortality rate than the non-insomnia group (Adjusted hazard ratio, HR 1.066 [1.038-1.095,95%CI] for AD, HR 1.077 [1.011-1.147, 95%CI]). Likewise, the proportion and duration of admission to a long-term care facility is higher in dementia in the insomnia group (Adjusted hazard ratio, HR 1.242 [1.205-1.279, 95%CI] for AD, HR 1.208 [1.126-1.295, 95%CI]). Conclusion: In this study using nationwide population data, insomnia increases the risk of AD and VD. Insomnia prior to the diagnosis of dementia also affects progress in terms of mortality and a long term facility admission.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-288,Two Novel Mutations in CSF1R Causing Hereditary Diffuse Leukoencephalopathy with Axonal Spheroids (HDLS),"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30541,"Elizabeth B Joe, MD",MD; Danielle Feigenbaum,"
Abstract:Elizabeth B Joe, MD; Helena C Chui, MD; Danielle Feigenbaum, M.D.; Lilyana Amezcua, M.D.; Mark Lew, M.D. and John M Ringman, MD, Keck School of Medicine at University of Southern California, Los Angeles, CA, USABackground: Hereditary diffuse leukoencephalopathy with axonal spheroids (HDLS) is a neurodegenerative disease presenting in midlife and associated with rapidly progressive cognitive, behavioral and motor symptoms. HDLS results from mutations in the CSF1R gene and is inherited in an autosomal dominant pattern. Method: We describe the clinical and neuroimaging features of two cases of HDLS evaluated at our medical center.and compare them with previously reported cases. Result: Both patients had clinical genetic testing done revealing mutations in CSF1R. Patient 1 is a 46 year old woman who initially presented with gait changes and dysarthria, with rapid progression of bulbar and cognitive symptoms over 18 months, and was found to have a mutation in exon 19, c.2519C>G (p.Ser840Cys). Patient 2 is a 56 year old man presenting with 3 years of depression and memory problems without significant motor symptoms in the context of a family history of early onset dementia syndrome in his mother and prior diagnosis of HDLS in his maternal aunt; he was also found to have a mutation in exon 19, c.2480T>A (p.Ile827Asn). Both patients demonstrated extensive white matter hyperintensities and thinning of the corpus callosum on their MRIs with Patient 1 having cavitary lesions. Both mutations are located in the tyrosine kinase domain of the protein at or near the location of previously described mutations. Both mutations are predicted to be probably damaging by Polyphen with a score of 1.0. Conclusion: To our knowledge, these are the first reported cases of HDLS associated with these mutations. As has been described in the literature, the female patient had a younger age of onset than the male. Clinicians should be aware of the diversity of clinical presentations of HDLS and consider genetic testing for atypical dementia syndromes associated with significant white matter changes.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-289,Predictors of Decline in Early Onset Alzheimer’s Dementia: A Retrospective Cohort Study,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30764,"Latha Velayudhan, MD",,"
Abstract:Latha Velayudhan, MD1,2; Alicear Kablan3; Sarah Baillon, PhD4; Laura McCulloch5; Samuel Tromans6 and James Lindesay, PhD2, (1)Institute of Psychiatry, Psychology and Neurosciences, King's College London, London, United Kingdom, (2)University of Leicester, Leicester, United Kingdom, (3)Institute of Psychiatry, Psychology and Neurosciences, London, United Kingdom, (4)Leicestershire Partnership NHS Trust, Leicester, United Kingdom, (5)Colchester General Hospital, Essex, United Kingdom, (6)Leicestershire partnership NHS Trust, Leicester, United KingdomBackground: Early-onset Alzheimer’s disease (AD) defined as onset of AD before the age of 65 is less common than the late-onset type and little is known about the factors affecting disease progression. We aimed to investigate demographic and cognitive measures as predictors for decline in EOAD, in individuals attending memory clinic for under 65 years of age in an European setting. Method: Subjects were consecutive patients assessed and followed up at a specialist memory service at a university teaching hospital between 2000-2010. Dementia diagnosis was made using ICD 10 criteria. Demographical measures, clinical and cognitive assessment using MMSE and CamCog at baseline were used as potential predictors of outcome at follow-up assessment at final attendance to the clinic. Outcomes was classified as those with slower decline (SD) who continued to follow up within the outpatient service or discharged back home as stable or as rapid decliners (RD) who needed transfer to other services such as community mental health team, inpatient services, placement to institutional care or death. Result: Of the 101 people (55 women; 58.9± 4.8 years) diagnosed with EOAD during this period, 26 patients had slower decline and 75 rapid decliners (69 transferred to other services, 4 to institutional care and 2 died). People with RD had lower education (p=0.021), shorter duration of illness (p=0.039), more family history of dementia (p=0.008, X2(1) = 9.57), were on antidepressants (p<0.001, X2(1) = 36.1) and not on cholinesterase inhibitor therapy (p=0.04, X2(1) = 10.07). Lower scores in orientation, attention and calculation, recent memory and abstract thinking on the CamCog test at baseline were found to predict a faster disease progression and poorer outcome.  Conclusion: Identification of predictors of faster disease progression have significant clinical benefit, allowing clinicians to estimate prognosis and plan patient care accordingly.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
